TITLE: unbtv lança aplicativo para celular
,ID,Título,Descrição,Categoria
57,206188,tv 30 unb contribui para a inovação da tv digital,nos dias 03 e 04 de abril aconteceu o seminário de apresentação da tv 30 no ministérios das comunicações e a universidade de brasília unb contribui para a inovação da tv digital assista,unbtv
131,193978,aplicativo mapeia mais de 2500 ipês no brasil,de junho a setembro uma multidão se aglomera ao redor dos ipês de brasília para tirar fotos das árvores que só florescem no inverno a paleta de cores vai do roxo em junho e julho passando pelo amarelo julho agosto e setembro rosa fim de agosto e fecha o ciclo com o ipê branco setembro o fascínio pela árvore motivou a criação de um aplicativo em 2020 pela bióloga e mestre em ecologia pela unb paula sicsú,unbtv
146,193884,vinheta verãoprogramaçãounbtv,acompanhe a nossa programação,unbtv
37,216599,unbtv entrevista tv 30 e o algoritmo por murilo césar ramos,acompanhe no unbtv entrevista uma série de três programas sobre tv 30 o primeiro é com o professor murilo césar ramos e ele trata da relação da tv com os algoritmos  compartilhe,entrevista
278,193288,unb lança processo seletivo exclusivo para idosos,,unbtv
328,192852,revista darcy lança trigésima edição em evento na unb,,unbtv
9,222604,unbtv entrevista rede de comunicação pública e tv 30 por jean lima,neste unbtv entrevista acompanhe a conversa com o presidente da empresa brasil comunicação jean lima que aborda a relação da rede de comunicação pública com a tv 30,entrevista
28,218127,unbtv entrevista comunicação pública e tv 30 por cláudia lemos,a presidenta da abc pública cláudia lemos fala sobre tv 30 e a relação com a comunicação pública,entrevista
17,220632,unb lança edital para o vestibular tradicional,já está disponível o edital para o vestibular tradicional da universidade de brasília assista para saber como participar e ser um estudante da unb,unbtv
563,190337,unbtv ciência pesquisadores da unb utilizam drone para facilitar certificação do mel orgânico,o mel orgânico que chega à sua mesa precisa cumprir uma série de exigências entre elas o apiário deve estar distante no mínimo 3km de regiões que possam apresentar contaminantes como os agrotóxicos usados na agricultura convencional liderado pela faculdade de tecnologia da unb o projeto de pesquisa apicultura 40 utiliza imagens de drone para facilitar a cerificação do selo orgânico por pequenos produtores de mel,pesquisa e ciência
