TITLE: unbtv lança aplicativo para celular
,ID,Título,Descrição,Categoria
546,190482,retrospectiva unb 60 anos,o ano de 2022 foi de muitas celebrações a universidade de brasília completou 60 anos mesmo ano em que o brasil comemorou o bicentenário da independência o centenário da semana de arte moderna e de darcy ribeiro idealizador do projeto da unb e seu primeiro reitor para comemorar esses 60 anos de história a unb planejou atividades e ações para o ano todo o ponto de partida foi em 15 de dezembro de 2021 com o lançamento da campanha “unb 60 anos atuante como sempre necessaria como nunca” a data foi escolhida por ser a mesma em que foi assinado o decreto de criação da universidade de brasília em 1961 como parte das comemorações a universidade lançou editais para contemplar projetos de pesquisa oficinas seminários e eventos que contassem a história da instituição pelo olhar de cada instituto e faculdade além de apresentações artísticas mostras de cinema lançamentos de livros concursos e muitos eventos pudemos relembrar a trajetória de luta e pioneirismo da unb celebrar o seu presente mas principalmente projetar o de futuro da unb e refletir o papel que a ciência a cultura e a educação deverão exercer no futuro do país e no fortalecimento da democracia brasileira ,unbtv
511,190768,cerimônia de abertura da 1ª festa do livro da unb,aconteceu nesta terçafeira 19 no anfiteatro 9 do icc sul campus darcy ribeiro asa norte a solenidade de abertura da 1ª festa do livro da unb presidida pela reitora márcia abrahão e pelo vicereitor enrique huelva a cerimônia deu o pontapé inicial do evento com a temática pensadoras e autoras negras brasileiras uma reescritura do brasil a iniciativa é parte do projeto cultural 2023 da editora unb edu organizadora do eventocompletaram a mesa de abertura germana henriques pereira diretora da edu deborah santos chefe da secretaria de direitos humanos sdhunb jézio gutierre presidente da associação brasileira de editoras universitárias abeu e jéferson assumção diretor de livro leitura literatura e bibliotecas do ministério da cultura minc,unbtv
354,192560,agenda política especial mulher na ciência retrospectiva,quais os impedimentos para a entrada e permanência das mulheres na ciência dupla ou tripla jornada de trabalho maternidade ausência de políticas de incentivo e até mesmo assédio sexual na academia são apontados como algumas das causas no dia internacional da mulher 8 de março para além das homenagens é necessário aproveitar o momento para debater as opressões enfrentadas pelas mulheres diariamentecom esse objetivo a unbtv recebeu em seu estúdio a professora nair bicalho socióloga e integrante do conselho de direitos humanos da unb a professora vanessa carvalho coordenadora de graduação do instituto de física e a professora valeska zanello coordenadora do grupo de pesquisa “saúde mental e gênero” do instituto de psicologia da unbo agenda política especial “mulher na ciência” faz parte da campanha unb mais humana durante o mês de março teremos ainda outros dois programas para debater temáticas relacionadas às mulheres,unbtv
31,217122,iagora entrevista o papel da ia na transformação educacional,confira neste episódio do programa iagora entrevista a conversa com a professora da unicamp maria helena guimarães de castro ela é titular da cátedra instituto ayrton senna de inovação em avaliação educacional vinculada ao instituto de estudos avançados da universidade de são paulo polo ribeirão preto e vicepresidente do conselho estadual de educação de são paulo entre outros temas foram discutidos os desafios éticos avanços potenciais e o papel crucial dos educadores na integração da inteligência artificial na sala de aula o programa iagora entrevista é uma iniciativa do projeto iagora brasil idealizado e coordenado pela professora isabela oliveira da faculdade de comunicação da universidade de brasília facunb com o apoio da fundação de apoio à pesquisa do distrito federal fapdf e parceria com a unb o projeto visa capacitar mil professores do df para o uso da ia na educação oferecendo um curso abrangente de 180 horas a ser realizado entre 2024 e 2025  ,entrevista
23,219397,universidade para quê  a porta para o futuro  ep10,o programa “universidade para quê” busca divulgar à sociedade a partir das ações desenvolvidas no campus da unb em planaltina df os diversos e por vezes pouco conhecidos papéis da universidade pública para além do ensino de graduação tradicionalmente reconhecido como de alta qualidade são pesquisas projetos de extensão e parcerias com instituições governamentais internacionais comunitárias e ligadas à sociedade civil organizada que apoiam o desenvolvimento do território imediatamente ligado aos campi mas que também atingem extensas regiões no brasil e para além de suas fronteiras “universidade para quê” é uma parceria entre unbtv e a faculdade unb planaltina fup por meio do laboratório de educação e comunicação comunitária lecom nesse décimo programa mostraremos como a passagem pela universidade pública transformou a vida de três jovens agora profissionais bemsucedidos nas áreas de gestão do agronegócio gestão ambiental e ciências naturais,pesquisa e ciência
406,192022,abertura semuni e a solenidade de outorga de doutor honoris causa a noam chomsky áudio original,a reitora da universidade de brasília professora márcia abrahão moura tem a honra de convidáloa para a abertura oficial da semana universitária e a solenidade de outorga de título de doutor honoris causa ao linguista norteamericano noam chomskyconhecido mundialmente por sua teoria da gramática gerativa chomsky foi indicado no ano passado pelo instituto de letras il da unb para ser condecorado de acordo com a diretora do il professora rozana naves a ideia de homenageálo surgiu quando o instituto completou cem trabalhos de pósgraduação defendidos na área da linguística gerativista34somouse a essa motivação a grande atuação política do pesquisador na defesa da democracia e na análise da geopolítica mundial34 complementa naves explica que o arcabouço teórico de chomsky na década de 1950 é conhecido como a primeira revolução cognitivistadata 21 de setembro de 2020,unbtv
353,192563,institucional unb 2022,conheça a unb estude na unb de acordo com a avaliação world university rankings by subjects do times higher education the a universidade de brasília unb é a terceira melhor universidade federal na área de administração e economia e a oitava quando comparada a todas as instituições de ensino superior brasileiras públicas ou privadas em relação ao ranking anterior a classificação representa um crescimento de quatro posições em nível nacional e de cinco entre federais a universidade ainda avançou nas áreas de engenharia – passando da 25ª posição para a 21ª de todo o brasil e da 18ª para 16ª entre federais – e na de ciências da vida – saindo do 28º lugar para o 20º entre brasileiras e do 20º para 14º quando comparada somente às federais já nas áreas de artes e humanidades saúde ciências da computação educação direito ciências da vida psicologia e ciências sociais a unb regrediu em comparação a outras universidades brasileiras mas ainda manteve excelentes pontuações a universidade foi classificada entre as dez melhores federais em quase todos os campos de conhecimento com exceção de ciências da computação em 20º lugar,unbtv
407,192021,abertura semuni e a solenidade de outorga de doutor honoris causa a noam chomsky com tradução,a reitora da universidade de brasília professora márcia abrahão moura tem a honra de convidáloa para a abertura oficial da semana universitária e a solenidade de outorga de título de doutor honoris causa ao linguista norteamericano noam chomskyconhecido mundialmente por sua teoria da gramática gerativa chomsky foi indicado no ano passado pelo instituto de letras il da unb para ser condecorado de acordo com a diretora do il professora rozana naves a ideia de homenageálo surgiu quando o instituto completou cem trabalhos de pósgraduação defendidos na área da linguística gerativista34somouse a essa motivação a grande atuação política do pesquisador na defesa da democracia e na análise da geopolítica mundial34 complementa naves explica que o arcabouço teórico de chomsky na década de 1950 é conhecido como a primeira revolução cognitivistadata 21 de setembro de 2020,unbtv
52,206748,iagora entrevista o poder da ia na sala de aula,neste episódio de estreia do programa iagora entrevista recebemos a professora rosa maria vicari da universidade federal do rio grande do sul ufrgs uma das maiores especialistas em inteligência artificial aplicada à educação no brasil ela compartilhou a sua visão sobre como a ia está transformando a educação os desafios e as oportunidades segundo estudos desenvolvidos por rosa até 2030 inovações tecnológicas estarão presentes em até 50 das escolas brasileiras e a computação em nuvem em 70 das instituições de ensino o programa iagora entrevista é uma iniciativa do projeto iagora brasil idealizado e coordenado pela professora isabela oliveira da faculdade de comunicação da universidade de brasília facunb com o apoio da fundação de apoio à pesquisa do distrito federal fapdf e parceria com a unb o projeto visa capacitar mil professores do df para o uso da ia na educação oferecendo um curso abrangente de 180 horas a ser realizado entre 2024 e 2025 confira,entrevista
74,195874,emcantos margaridas,cantoras compositoras musicistas e irmãs maria paula e sabrina mais conhecidas como margaridas vêm chamando atenção da cena autoral do distrito federal donas de vozes e presenças marcantes têm conquistado o público com muito talento carisma e versatilidade residentes de taguatinga utilizam a liberdade força e expressividade feminina como temas centrais de suas escrevivênciasas artistas compartilham influências do pop hip hop rampb mpb e afrobeat além de apresentarem a versatilidade musical estética e artística como características marcantes de seus trabalhos desde 2018 margaridas estão ativas na cena cultural do distrito federal com lançamento de músicas videoclipes eventos e shows sempre buscando conexões reais com seu público,arte e cultura
