TITLE: iagora entrevista ia ciência de dados e perspectivas
,ID,Título,Descrição,Categoria
12,221622,671ª reunião do cepe,,unbtv
18,220631,513ª reunião do consuni,,unbtv
25,218132,670ª reunião do cepe,,unbtv
26,218129,lei de combate às fake news  defesa da democracia da liberdade de expressão,unbtv  junho2023,unbtv
27,218128,outorga de diploma modalidade post mortem  honestino guimarães,,unbtv
38,213642,512ª reunião do consuni,,unbtv
59,196870,exclusiva jovem dionísio,nesta edição do exclusiva trouxemos a banda curitibana jovem dionísio os integrantes contam pra gente como a banda surgiu a história da música pontos de exclamação a estética da banda entre outras histórias ,arte e cultura
78,195531,servidores técnicoadministrativos aderem greve nacional por reestruturação da carreira,greve começa no dia 11 de março servidores reivindicam reestruturação da carreira e reajuste salarial saiba mais sobre essa mobilização,unbtv
82,194562,prêmio jabuti acadêmico abre inscrições,voltado para premiar obras científicas técnicas e profissionais o prêmio jabuti acadêmico abre inscrições pela primeira vez confira,unbtv
87,194475,solenidade outorga título de mérito universitário à servidora antônia célia barros lins bomfim,solenidade outorga título de mérito universitário à servidora antônia célia barros lins bomfim,unbtv
