TITLE: iagora entrevista ia ciência de dados e perspectivas
,ID,Título,Descrição,Categoria
406,192022,abertura semuni e a solenidade de outorga de doutor honoris causa a noam chomsky áudio original,a reitora da universidade de brasília professora márcia abrahão moura tem a honra de convidáloa para a abertura oficial da semana universitária e a solenidade de outorga de título de doutor honoris causa ao linguista norteamericano noam chomskyconhecido mundialmente por sua teoria da gramática gerativa chomsky foi indicado no ano passado pelo instituto de letras il da unb para ser condecorado de acordo com a diretora do il professora rozana naves a ideia de homenageálo surgiu quando o instituto completou cem trabalhos de pósgraduação defendidos na área da linguística gerativista34somouse a essa motivação a grande atuação política do pesquisador na defesa da democracia e na análise da geopolítica mundial34 complementa naves explica que o arcabouço teórico de chomsky na década de 1950 é conhecido como a primeira revolução cognitivistadata 21 de setembro de 2020,unbtv
546,190482,retrospectiva unb 60 anos,o ano de 2022 foi de muitas celebrações a universidade de brasília completou 60 anos mesmo ano em que o brasil comemorou o bicentenário da independência o centenário da semana de arte moderna e de darcy ribeiro idealizador do projeto da unb e seu primeiro reitor para comemorar esses 60 anos de história a unb planejou atividades e ações para o ano todo o ponto de partida foi em 15 de dezembro de 2021 com o lançamento da campanha “unb 60 anos atuante como sempre necessaria como nunca” a data foi escolhida por ser a mesma em que foi assinado o decreto de criação da universidade de brasília em 1961 como parte das comemorações a universidade lançou editais para contemplar projetos de pesquisa oficinas seminários e eventos que contassem a história da instituição pelo olhar de cada instituto e faculdade além de apresentações artísticas mostras de cinema lançamentos de livros concursos e muitos eventos pudemos relembrar a trajetória de luta e pioneirismo da unb celebrar o seu presente mas principalmente projetar o de futuro da unb e refletir o papel que a ciência a cultura e a educação deverão exercer no futuro do país e no fortalecimento da democracia brasileira ,unbtv
511,190768,cerimônia de abertura da 1ª festa do livro da unb,aconteceu nesta terçafeira 19 no anfiteatro 9 do icc sul campus darcy ribeiro asa norte a solenidade de abertura da 1ª festa do livro da unb presidida pela reitora márcia abrahão e pelo vicereitor enrique huelva a cerimônia deu o pontapé inicial do evento com a temática pensadoras e autoras negras brasileiras uma reescritura do brasil a iniciativa é parte do projeto cultural 2023 da editora unb edu organizadora do eventocompletaram a mesa de abertura germana henriques pereira diretora da edu deborah santos chefe da secretaria de direitos humanos sdhunb jézio gutierre presidente da associação brasileira de editoras universitárias abeu e jéferson assumção diretor de livro leitura literatura e bibliotecas do ministério da cultura minc,unbtv
407,192021,abertura semuni e a solenidade de outorga de doutor honoris causa a noam chomsky com tradução,a reitora da universidade de brasília professora márcia abrahão moura tem a honra de convidáloa para a abertura oficial da semana universitária e a solenidade de outorga de título de doutor honoris causa ao linguista norteamericano noam chomskyconhecido mundialmente por sua teoria da gramática gerativa chomsky foi indicado no ano passado pelo instituto de letras il da unb para ser condecorado de acordo com a diretora do il professora rozana naves a ideia de homenageálo surgiu quando o instituto completou cem trabalhos de pósgraduação defendidos na área da linguística gerativista34somouse a essa motivação a grande atuação política do pesquisador na defesa da democracia e na análise da geopolítica mundial34 complementa naves explica que o arcabouço teórico de chomsky na década de 1950 é conhecido como a primeira revolução cognitivistadata 21 de setembro de 2020,unbtv
354,192560,agenda política especial mulher na ciência retrospectiva,quais os impedimentos para a entrada e permanência das mulheres na ciência dupla ou tripla jornada de trabalho maternidade ausência de políticas de incentivo e até mesmo assédio sexual na academia são apontados como algumas das causas no dia internacional da mulher 8 de março para além das homenagens é necessário aproveitar o momento para debater as opressões enfrentadas pelas mulheres diariamentecom esse objetivo a unbtv recebeu em seu estúdio a professora nair bicalho socióloga e integrante do conselho de direitos humanos da unb a professora vanessa carvalho coordenadora de graduação do instituto de física e a professora valeska zanello coordenadora do grupo de pesquisa “saúde mental e gênero” do instituto de psicologia da unbo agenda política especial “mulher na ciência” faz parte da campanha unb mais humana durante o mês de março teremos ainda outros dois programas para debater temáticas relacionadas às mulheres,unbtv
353,192563,institucional unb 2022,conheça a unb estude na unb de acordo com a avaliação world university rankings by subjects do times higher education the a universidade de brasília unb é a terceira melhor universidade federal na área de administração e economia e a oitava quando comparada a todas as instituições de ensino superior brasileiras públicas ou privadas em relação ao ranking anterior a classificação representa um crescimento de quatro posições em nível nacional e de cinco entre federais a universidade ainda avançou nas áreas de engenharia – passando da 25ª posição para a 21ª de todo o brasil e da 18ª para 16ª entre federais – e na de ciências da vida – saindo do 28º lugar para o 20º entre brasileiras e do 20º para 14º quando comparada somente às federais já nas áreas de artes e humanidades saúde ciências da computação educação direito ciências da vida psicologia e ciências sociais a unb regrediu em comparação a outras universidades brasileiras mas ainda manteve excelentes pontuações a universidade foi classificada entre as dez melhores federais em quase todos os campos de conhecimento com exceção de ciências da computação em 20º lugar,unbtv
343,192741,congresso de 75 anos da declaração universal de direitos humanos,acontece nesta terçafeira dia 12 de dezembro no auditório esperança garcia na faculdade de direito o congresso de 75 anos da declaração universal dos direitos humanoso congresso é uma iniciativa da secretaria de direitos humanos da universidade de brasília e do centro acadêmico de direito que busca maior visibilidade no alcance e ampliação dos direitos humanos para as populações marginalizadas abordando temas cruciais para a inclusão de populações marginalizadas nos direitos humanos diversas mesas de debate tratarão de política universitária fragilidades institucionais e questões contemporâneas relacionadas a mulheres populações periféricas e povos origináriosdurante a mesa de discussão serão tratados aspectos históricos fundamentais relacionados à gênese e evolução da declaração dos direitos humanos enfatizando uma análise crítica do contexto colonial e sua influência na configuração dos direitos humanos e as ações da universidade de brasília para a garantia e ampliação desses direitosa perspectiva do sul global frequentemente excluída das discussões predominantes será trazida à tona por meio de perspectivas e análises de renomados institutos e convidados especialistas,unbtv
95,194412,explique sua tese matematização do conhecimento acirra embate entre ciências naturais e culturais,o tensionamento entre as ciências culturais e as ciências da natureza é antigo a partir da modernidade áreas como a física e a química se afastam da filosofia e adotam a matemática como principal linguagem de expressão com isso ganham em prestígio a partir do aumento da capacidade de prever e justificar os fenômenos a matemática tornase então uma referência de conhecimento “preciso” e “seguro” até mesmo para as ciências culturais mas faz sentido hierarquizar a produção do saber científico confira o debate instigado pela primeira tese de doutorado defendida no programa de pósgraduação em metafísica da unb de autoria do pesquisador ivânio lopes de azevedo jrtodas as pesquisas apresentadas no programa estão disponíveis no repositório institucional da unb wwwrepositoriounbbr07052021,pesquisa e ciência
74,195874,emcantos margaridas,cantoras compositoras musicistas e irmãs maria paula e sabrina mais conhecidas como margaridas vêm chamando atenção da cena autoral do distrito federal donas de vozes e presenças marcantes têm conquistado o público com muito talento carisma e versatilidade residentes de taguatinga utilizam a liberdade força e expressividade feminina como temas centrais de suas escrevivênciasas artistas compartilham influências do pop hip hop rampb mpb e afrobeat além de apresentarem a versatilidade musical estética e artística como características marcantes de seus trabalhos desde 2018 margaridas estão ativas na cena cultural do distrito federal com lançamento de músicas videoclipes eventos e shows sempre buscando conexões reais com seu público,arte e cultura
539,190495,unb 60 anos da idealização à interrupção de um sonho 1,há 60 anos a universidade de brasília era fundada com a missão ousada de ser laboratório de um novo ensino superior no brasil e agente da transformação socialpara celebrar a unbtv lança o primeiro episódio de uma série de três vídeos com fatos marcantes da história da nossa universidade o primeiro episódio conta como se deu a construção da unb da idealização à interrupção de um sonho com a ditadura militar o segundo vídeo aborda o período de redemocratização e a construção nas últimas três décadas de um ambiente propício para o surgimento de iniciativas inspiradoras como o programa de avaliação seriada pas e o sistema de cotas já o terceiro e último episódio narra a expansão da unb em contraste com as restrições orçamentárias dos últimos anos além de abordar a pandemia da covid19 que mudou totalmente o cotidiano da universidade mas reafirmou que ela segue 34atuante como sempre necessária como nunca34 ,unbtv
