TITLE: unb oferece reabilitação gratuita para doenças neurodegenerativas
,ID,Título,Descrição,Categoria
114,194155,unbtv entrevista epidemia de dengue,nesta edição do unbtv entrevista o professor da faculdade de ceilândia fceunb wildo navegantes esclarece sobre a dengue as vacinas e como se proteger confira,entrevista
446,191423,fazendo ciência formando cientistas canela suertegaray batista,projeto o lugar das artes visuais no projeto de vida,pesquisa e ciência
457,191213,longevidade conectada e estação de telessaúde,a primeira estação de telessaúde integrada e de bemestar do brasil foi inaugurada em solenidade na faculdade unb ceilândia fce a estrutura busca ampliar o acesso da população a serviços de saúde com foco em pacientes de 60 anos ou mais a universidade de brasília coordena a fase de avaliação e implementação do projeto que foi desenvolvido por pesquisadores da universidade de são paulo usp com apoio do ministério da saúde ms“a vantagem é ampliar a mobilidade levar a telessaúde para locais remotos – que às vezes não têm infraestrutura de energia elétrica e rede de internet – com agilidade ampliar o acesso da população às ações e serviços de saúde” comemorou ana estela haddad no evento foram anunciadas as próximas capitais a receberem a estrutura santos em são paulo e manaus no amazonas ,unbtv
258,193332,governança e gestão pública gestão de pessoas no setor público,raquel cunha secretária de gestão de pessoas do cnj aborda a questão da gestão de pessoas no setor público,unbtv
71,196209,brasil em questão racismo,a discussão sobre o racismo que é um dos principais problemas da história do brasil tem ganhado fôlego nos últimos meses diversas situações de discriminação violência e ofensa a pessoas negras têm reposicionado essa temática no debate público neste episódio do programa brasil em questão nós conversamos com os professores renísia garcia da faculdade de educação da unb e cléber vieira presidente da associação brasileira de pesquisadores negros e negras confira,entrevista
31,217122,iagora entrevista o papel da ia na transformação educacional,confira neste episódio do programa iagora entrevista a conversa com a professora da unicamp maria helena guimarães de castro ela é titular da cátedra instituto ayrton senna de inovação em avaliação educacional vinculada ao instituto de estudos avançados da universidade de são paulo polo ribeirão preto e vicepresidente do conselho estadual de educação de são paulo entre outros temas foram discutidos os desafios éticos avanços potenciais e o papel crucial dos educadores na integração da inteligência artificial na sala de aula o programa iagora entrevista é uma iniciativa do projeto iagora brasil idealizado e coordenado pela professora isabela oliveira da faculdade de comunicação da universidade de brasília facunb com o apoio da fundação de apoio à pesquisa do distrito federal fapdf e parceria com a unb o projeto visa capacitar mil professores do df para o uso da ia na educação oferecendo um curso abrangente de 180 horas a ser realizado entre 2024 e 2025  ,entrevista
32,217121,fs promove atendimento a trabalhadores adoecidos,o projeto caminhos do trabalho busca mapear e combater a subnotificação de doenças acidentes no ambiente de trabalho a iniciativa coordenada pelas professoras da unb renata queiroz dutra faculdade de direito e maria da graça luderitz hoefel faculdade de ciências da saúde oferece atendimento médico assistência jurídica e notificação de casos aos sistemas de informação ,unbtv
52,206748,iagora entrevista o poder da ia na sala de aula,neste episódio de estreia do programa iagora entrevista recebemos a professora rosa maria vicari da universidade federal do rio grande do sul ufrgs uma das maiores especialistas em inteligência artificial aplicada à educação no brasil ela compartilhou a sua visão sobre como a ia está transformando a educação os desafios e as oportunidades segundo estudos desenvolvidos por rosa até 2030 inovações tecnológicas estarão presentes em até 50 das escolas brasileiras e a computação em nuvem em 70 das instituições de ensino o programa iagora entrevista é uma iniciativa do projeto iagora brasil idealizado e coordenado pela professora isabela oliveira da faculdade de comunicação da universidade de brasília facunb com o apoio da fundação de apoio à pesquisa do distrito federal fapdf e parceria com a unb o projeto visa capacitar mil professores do df para o uso da ia na educação oferecendo um curso abrangente de 180 horas a ser realizado entre 2024 e 2025 confira,entrevista
15,221045,iagora entrevista ia ciência de dados e perspectivas,neste episódio do iagora entrevista exploramos o futuro da educação com o impacto da inteligência artificial e ciência de dados a convidada é a professora daniela maria lemos barbato jacobovitz renomada cientista de dados na educacross e barbato estudos de engenharia e professora colaboradora na universidade paulista unipo programa iagora entrevista é uma iniciativa do projeto iagora brasil idealizado e coordenado pela professora isabela oliveira da faculdade de comunicação da universidade de brasília facunb com o apoio da fundação de apoio à pesquisa do distrito federal fapdf e parceria com a unb o projeto visa capacitar mil professores do df para o uso da ia na educação oferecendo um curso abrangente de 180 horas a ser realizado entre 2024 e 2025 ,entrevista
331,192842,unbtv entrevista descriminalização do porte da maconha,nesta edição do unbtv entrevista a professora do curso de terapia ocupacional e do programa de pós graduação em ciências e tecnologias da saúde da universidade de brasília unb do campus ceilândia andrea galassi aborda a descriminalização do porte da maconha para uso pessoal  após oito anos o tema volta a ser discutido no supremo tribunal federal stf,entrevista
