TITLE: unb oferece reabilitação gratuita para doenças neurodegenerativas
,ID,Título,Descrição,Categoria
114,194155,unbtv entrevista epidemia de dengue,nesta edição do unbtv entrevista o professor da faculdade de ceilândia fceunb wildo navegantes esclarece sobre a dengue as vacinas e como se proteger confira,entrevista
3,225101,projeto da unb usa eletroestimulação para reabilitar pessoas com lesão na medula,⁠⁠⁠⁠⁠⁠⁠conheça o projeto ema grupo de pesquisa da unb que desenvolve tecnologias para auxiliar na reabilitação de pessoas com lesão medular em outubro o grupo vai à suíça para participar do cybathlon as olimpíadas biônicas confira,unbtv
32,217121,fs promove atendimento a trabalhadores adoecidos,o projeto caminhos do trabalho busca mapear e combater a subnotificação de doenças acidentes no ambiente de trabalho a iniciativa coordenada pelas professoras da unb renata queiroz dutra faculdade de direito e maria da graça luderitz hoefel faculdade de ciências da saúde oferece atendimento médico assistência jurídica e notificação de casos aos sistemas de informação ,unbtv
134,193966,unb oferece vôlei nas férias,o ginásio do centro olímpico da unb abre as portas para receber a comunidade no vôlei de verão a iniciativa vai até o dia 14 de março,unbtv
382,192369,faculdade de ceilândia recebe campanha de vacinação,a coordenação de atenção e vigilância em saúde a coavs visitou o campus da faculdade de ceilândia para finalizar a campanha de vacinação a ação ocorre anualmente em todos os campi da unb as vacinas aplicadas foram para covid influenza hepatite b dupla bacteriana para adultos febre amarela e tríplice viral,unbtv
311,193150,projeto da unb divulga resultados do curso de administração,mostrar para o público o que é feito no curso de administração da universidade de brasília essa é a ideia do retrato acadêmico criado em 2019 o projeto de extensão produz relatórios sobre os resultados obtidos pelo departamento ano a ano o retrato acadêmico traz diversos dados do departamento de administração como número de professores de estudantes tcc’s concluídos e projetos de iniciação científica ativos confira,unbtv
294,193250,pesquisadores da unb criam látex antialergênico,,unbtv
258,193332,governança e gestão pública gestão de pessoas no setor público,raquel cunha secretária de gestão de pessoas do cnj aborda a questão da gestão de pessoas no setor público,unbtv
457,191213,longevidade conectada e estação de telessaúde,a primeira estação de telessaúde integrada e de bemestar do brasil foi inaugurada em solenidade na faculdade unb ceilândia fce a estrutura busca ampliar o acesso da população a serviços de saúde com foco em pacientes de 60 anos ou mais a universidade de brasília coordena a fase de avaliação e implementação do projeto que foi desenvolvido por pesquisadores da universidade de são paulo usp com apoio do ministério da saúde ms“a vantagem é ampliar a mobilidade levar a telessaúde para locais remotos – que às vezes não têm infraestrutura de energia elétrica e rede de internet – com agilidade ampliar o acesso da população às ações e serviços de saúde” comemorou ana estela haddad no evento foram anunciadas as próximas capitais a receberem a estrutura santos em são paulo e manaus no amazonas ,unbtv
213,193515,universidade do envelhecer abre 300 vagas gratuitas,a universidade do envelhecer uniser programa de extensão da unb oferece 300 vagas para o curso educador político social em gerontologia as oportunidades são distribuídas em três unidades gama candangolândia e águas claras as aulas são presenciais e começam dia 18 de março de segunda a sexta das 14h às 18h o curso é voltado para maiores de 45 anos as inscrições vão até 29 de fevereiro pelo seguinte endereço httpsdocsgooglecomformsde1faipqlsd8buq8dkaxtqcpj1ursnnhovezevj7pbze72jifb9anwtwviewform ,unbtv
