,ID,Título,Descrição,Categoria
0,225533,diálogos filosofia da religião,unbtv  novembro2015,entrevista
1,225528,unb oferece reabilitação gratuita para doenças neurodegenerativas,o projeto indpemdentes é desenvolvido por pesquisadores do curso de fisioterapia da faculdade de ceilândia fceunb a iniciativa é voltada para pessoas com parkinson e esclerose múltipla confira,unbtv
2,225265,unbtv lança aplicativo para celular,a partir de agora a unbtv tem um aplicativo para facilitar o acompanhamento da programação e o envio de sugestões de matéria para a redação da tv da universidade de brasília ,unbtv
3,225101,projeto da unb usa eletroestimulação para reabilitar pessoas com lesão na medula,⁠⁠⁠⁠⁠⁠⁠conheça o projeto ema grupo de pesquisa da unb que desenvolve tecnologias para auxiliar na reabilitação de pessoas com lesão medular em outubro o grupo vai à suíça para participar do cybathlon as olimpíadas biônicas confira,unbtv
4,224279,doc unbtv greve nas federais,entre março e abril de 2024 servidores técnicos e docentes de mais de 60 universidades e institutos federais iniciaram uma greve que durou três meses este documentário da unbtv relata os momentos cruciais do movimento desde as reivindicações por melhores salários e condições de trabalho até as negociações que culminaram no fim da greve em junho assista para entender os impactos e conquistas desse período que paralisou as instituições de ensino e mobilizou a comunidade acadêmica,unbtv
5,224002,encontro com rita segato por onde segue a história,aula pública com a profa emérita rita laura segato e lançamento de livro em sua femenagem14 de agosto às 16 horasanfiteatro 9  icc sul campus darcy ribeiro unb brasíliadf,unbtv
6,222630,consulta à reitoria da unb 2024 candidata rozana naves,,unbtv
7,222628,consulta à reitoria da unb 2024 candidata olgamir amancia,,unbtv
8,222626,consulta à reitoria da unb 2024 candidata fátima sousa,,unbtv
9,222604,unbtv entrevista rede de comunicação pública e tv 30 por jean lima,neste unbtv entrevista acompanhe a conversa com o presidente da empresa brasil comunicação jean lima que aborda a relação da rede de comunicação pública com a tv 30,entrevista
10,222601,4º debate  consulta para escolha de reitora e vicereitor da unb,,unbtv
11,222186,unbtv entrevista reitora da unb avalia gestão na andifes,neste unbtv entrevista a jornalista aline romio conversa com a reitora da unb a professora márcia abrahão que esteve à frente da gestão da associação nacional dos dirigentes das instituições federais de ensino superior a andifes de julho de 2023 a julho de 2024,entrevista
12,221622,671ª reunião do cepe,,unbtv
13,221621,unbtv entrevista honestino guimarães legado e diploma pós morte,a universidade de brasília concedeu um diploma póstumo a honestino guimarães estudante que ingressou em 1965 no curso de geologia mas foi expulso em 1968 e desapareceu depois de ser preso pela ditadura militar em 1973 acompanhe o programa unbtv entrevista para entender o impacto dessa homenagem e o legado de honestino guimarães com a participação de seu primo sebastião oliveira neto,entrevista
14,221343,3º debate  consulta para escolha de reitora e vicereitor da unb,,unbtv
15,221045,iagora entrevista ia ciência de dados e perspectivas,neste episódio do iagora entrevista exploramos o futuro da educação com o impacto da inteligência artificial e ciência de dados a convidada é a professora daniela maria lemos barbato jacobovitz renomada cientista de dados na educacross e barbato estudos de engenharia e professora colaboradora na universidade paulista unipo programa iagora entrevista é uma iniciativa do projeto iagora brasil idealizado e coordenado pela professora isabela oliveira da faculdade de comunicação da universidade de brasília facunb com o apoio da fundação de apoio à pesquisa do distrito federal fapdf e parceria com a unb o projeto visa capacitar mil professores do df para o uso da ia na educação oferecendo um curso abrangente de 180 horas a ser realizado entre 2024 e 2025 ,entrevista
16,221044,tvs universitárias lançam série sobre territórios e resistência no fica 2024,o 3º encontro das escolas de cinema e audiovisual do brasil central realizado durante o 25º festival internacional de cinema ambiental fica em goiás reuniu representantes de tvs universitárias e escolas de cinema da região o evento contou com exposições debates lançamentos de livros e séries e painéis públicos destacando a importância da formação audiovisual e das políticas públicas no brasilentre os momentos de destaque ocorreu o lançamento da série televisiva 39ekobé  vida que vem da terra39 uma coprodução entre sete tvs universitárias que abordou temas de ocupação e resistência humana em diversos territórios do brasil ,unbtv
17,220632,unb lança edital para o vestibular tradicional,já está disponível o edital para o vestibular tradicional da universidade de brasília assista para saber como participar e ser um estudante da unb,unbtv
18,220631,513ª reunião do consuni,,unbtv
