TITLE: unbtv lança aplicativo para celular
,ID,Título,Descrição,Categoria
271,193305,projeto de extensão da unb valoriza construção tradicional kalunga,madeira pedra barro e palha esses sãos os materiais utilizados há 300 anos na construção de casas no território kalunga maior comunidade remanescente de quilombo no país localizado em municípios que abrigam o parque nacional da chapada dos veadeiros o modo de construção tradicional no entanto está ameaçado pela chegada de novos moradores atraídos pelo potencial turístico da região nesse contexto um projeto de extensão da faculdade de arquitetura e urbanismo da unb tem buscado resguardar e fortalecer o modo de construção tradicional do povo kalunga junto aos bioconstrutores locais ,documentais
368,192502,tirando de letra giovana madalosso,antes jornalista e redatora publicitária hoje escritora ao programa tirando de letra giovana madalosso conta que só passou a existir por inteiro quando começou a publicar seus livros  a obra de estreia é teta racional grua 2016 cujos contos abordam a experiência com a maternidade logo depois vieram os livros tudo pode ser roubado todavia 2018 e suíte tóquio 2020 antes de ir para o papel a escritora se aprofunda nas personagens buscando conhecêlas 34por dentro34 com define e para isso aposta em 34técnicas malucas34 como a construção de playlists para as personagens nesta edição do tirando de letra giovana madalosso aborda sua estreia na literatura o processo de escrita e o árduo caminho da publicação ,entrevista
565,190333,esboços valéria penacosta,poeira insetos objetos em deterioração são ao mesmo tempo tema e matériaprima para a obra de valéria penacosta em um trabalho que reflete a inevitável passagem do tempo as memórias de infância os medos passados e presentes em diferentes formas de expressão,arte e cultura
22,219399,radar da extensão ventre que dança,no radar da extensão de hoje apresentamos o projeto 34ventre que dança34 realizado na unb e consiste em um espaço de experimentações artísticas e de práticas corporais com a integração de ritmos e técnicas de danças em diálogo com as abordagens das práticas integrativas e complementares em saúde assista compartilhe,pesquisa e ciência
29,217471,exclusiva  margaridas,no exclusiva deste mês recebemos as cantoras compositoras e irmãs maria paula e sabrina mais conhecidas como margaridas elas comentam o início da carreira o processo de composição e o machismo que enfrentam na indústria musical ,arte e cultura
44,207162,exclusiva renata jambeiro,o exclusiva deste mês é com a cantora e atriz formada pela unb renata jambeiro ela nos contou um pouco sobre sua carreira nas artes seu início nas artes cênicas e sobre a importância do teatro nas performances dos seus shows também falou sobre sua trajetória internacional e sobre as inspirações para o afrodisia saiba mais sobre renata jambeiro  httpsrenatajambeirocombr httpswwwyoutubecomcrenatajambeiro httpsopenspotifycomartist0p7eoz5ravp46jccu2cvdx httpwwwinstagramcomrenatajambeirooficial ,arte e cultura
51,206749,fala jovem estudantes relatam impacto da greve no calendário acadêmico,depois de dois meses sem aula a greve acabou com isso o calendário estudantil foi reformulado o final do primeiro semestre será no dia 21 de setembro já o segundo semestre vai de 14 de outubro a 22 de fevereiro mas… o que será que os estudantes acham disso fala jovem,jornalismo
59,196870,exclusiva jovem dionísio,nesta edição do exclusiva trouxemos a banda curitibana jovem dionísio os integrantes contam pra gente como a banda surgiu a história da música pontos de exclamação a estética da banda entre outras histórias ,arte e cultura
62,196867,exclusiva  martte,a exclusiva é com o cantor e compositor paulistano martte ele nos conta que sua paixão pela música vem desde a infância fala sobre seu primeiro álbum “vem bem vindo” e comenta sobre o processo criativo na pandemia além disso destaca como lida com situações de racismo no cotidiano e os detalhes para  o próximo álbum confira a entrevista completa,arte e cultura
63,196866,exclusiva felipe cordeiro,no exclusiva deste mês conversamos com o cantor e compositor paraense felipe cordeiro ele comenta a primeira vez que se apresentou no exterior e como isso agregou para sua carreira fala também do seu álbum mais recente “ transpyra” e conta como vê a situação atual da amazônia e da efervescência da cena musical do pará confira a entrevista completa,arte e cultura
