TITLE: iagora entrevista ia ciência de dados e perspectivas
,ID,Título,Descrição,Categoria
52,206748,iagora entrevista o poder da ia na sala de aula,neste episódio de estreia do programa iagora entrevista recebemos a professora rosa maria vicari da universidade federal do rio grande do sul ufrgs uma das maiores especialistas em inteligência artificial aplicada à educação no brasil ela compartilhou a sua visão sobre como a ia está transformando a educação os desafios e as oportunidades segundo estudos desenvolvidos por rosa até 2030 inovações tecnológicas estarão presentes em até 50 das escolas brasileiras e a computação em nuvem em 70 das instituições de ensino o programa iagora entrevista é uma iniciativa do projeto iagora brasil idealizado e coordenado pela professora isabela oliveira da faculdade de comunicação da universidade de brasília facunb com o apoio da fundação de apoio à pesquisa do distrito federal fapdf e parceria com a unb o projeto visa capacitar mil professores do df para o uso da ia na educação oferecendo um curso abrangente de 180 horas a ser realizado entre 2024 e 2025 confira,entrevista
31,217122,iagora entrevista o papel da ia na transformação educacional,confira neste episódio do programa iagora entrevista a conversa com a professora da unicamp maria helena guimarães de castro ela é titular da cátedra instituto ayrton senna de inovação em avaliação educacional vinculada ao instituto de estudos avançados da universidade de são paulo polo ribeirão preto e vicepresidente do conselho estadual de educação de são paulo entre outros temas foram discutidos os desafios éticos avanços potenciais e o papel crucial dos educadores na integração da inteligência artificial na sala de aula o programa iagora entrevista é uma iniciativa do projeto iagora brasil idealizado e coordenado pela professora isabela oliveira da faculdade de comunicação da universidade de brasília facunb com o apoio da fundação de apoio à pesquisa do distrito federal fapdf e parceria com a unb o projeto visa capacitar mil professores do df para o uso da ia na educação oferecendo um curso abrangente de 180 horas a ser realizado entre 2024 e 2025  ,entrevista
572,190293,unbtv entrevista o futuro da inteligência artificial,formada em ciência da computação na pucrio e ativista digital nina da hora é referência quando o assunto é questões raciais na tecnologia e inteligência artificial além de se definir como uma “hacker antirracista” no unbtv entrevista ela falou sobre as suas referências na área o futuro da ia e deepfakes,entrevista
282,193281,unbtv entrevista projeto dá visibilidade às trajetórias da população negra no df,nomear e reconhecer mulheres e homens negros que protagonizaram a história do distrito federal esse é o objetivo do projeto que resultou na exposição fotográfica 34reintegração de posse34 as imagens dos pioneiros podem ser conferidas por quem passar pela galeria dos estados em brasília veja o unbtv entrevista com a coordenadora da iniciativa a professora do departamento de história da unb ana flávia magalhães ,entrevista
417,191932,conheça o ceadunb,vídeo institucional do centro de educação a distância da universidade de brasília  ceadunb a universidade de brasília reconhecida nacional e internacionalmente está presente em todos os cantos do brasil de uma forma que poucos imaginam por meio do programa universidade aberta do brasil uab e com o apoio do centro de educação a distância e tecnologias educacionais ceadunb a universidade atua em mais de 50 polos de apoio presencial com a oferta cursos de graduação pósgraduação e extensão em diversos municípios pelo interior do país além disso por meio da educação a distância ead o cead desenvolve ações de apoio à formação para a modalidade de ead e para o uso qualificado de tecnologias como suporte aos processos de ensino e de aprendizagem confira neste vídeo produzido pelo cead e pela unbtv onde e como atua a ead da unb,unbtv
462,191203,universidade para quê  o acesso à universidade pública  ep9,nesse nono programa mostraremos como o acesso à universidade transformou a vida de jovens de planaltina resultando no projeto de extensão “educação” em que estudantes da unb ministram um curso gratuito preparatório para o enemacompanhe notícias da extensão da fup e do projeto educação nas redes sociais64extensaofup 64educacaoplanaltinaunbtv  setembro2023,pesquisa e ciência
311,193150,projeto da unb divulga resultados do curso de administração,mostrar para o público o que é feito no curso de administração da universidade de brasília essa é a ideia do retrato acadêmico criado em 2019 o projeto de extensão produz relatórios sobre os resultados obtidos pelo departamento ano a ano o retrato acadêmico traz diversos dados do departamento de administração como número de professores de estudantes tcc’s concluídos e projetos de iniciação científica ativos confira,unbtv
173,193678,diálogos letramento digital,programa da unbtv com a participação da professora de linguística da unb stella maris bertoni e da professora da universidade federal de alagoas ufal anamélia de campos,entrevista
249,193365,diálogos perspectivas pós pandemia para a ciência,neste primeiro programa fruto da parceria entre a unbtv e a faculdade de medicina da unb alunos de medicina entrevistam o médico e pesquisador gustavo romero que liderou estudos com vacina de covid 19 no df,entrevista
79,195100,unbtv entrevista desastres ambientais e impactos,nesta edição do unbtv entrevista recebemos a professora tânia cristina cruz da faculdade de planaltina,entrevista
