TITLE: unb oferece reabilitação gratuita para doenças neurodegenerativas
,ID,Título,Descrição,Categoria
29,217471,exclusiva  margaridas,no exclusiva deste mês recebemos as cantoras compositoras e irmãs maria paula e sabrina mais conhecidas como margaridas elas comentam o início da carreira o processo de composição e o machismo que enfrentam na indústria musical ,arte e cultura
51,206749,fala jovem estudantes relatam impacto da greve no calendário acadêmico,depois de dois meses sem aula a greve acabou com isso o calendário estudantil foi reformulado o final do primeiro semestre será no dia 21 de setembro já o segundo semestre vai de 14 de outubro a 22 de fevereiro mas… o que será que os estudantes acham disso fala jovem,jornalismo
58,206187,radar da extensão entendendo a extensão,dentro da universidade de brasília existe um setor especializado em ofertar atividades de extensão o decanato de extensão acompanhe neste primeiro episódio do radar da extensão uma conversa com a decana olgamir amancia,pesquisa e ciência
59,196870,exclusiva jovem dionísio,nesta edição do exclusiva trouxemos a banda curitibana jovem dionísio os integrantes contam pra gente como a banda surgiu a história da música pontos de exclamação a estética da banda entre outras histórias ,arte e cultura
74,195874,emcantos margaridas,cantoras compositoras musicistas e irmãs maria paula e sabrina mais conhecidas como margaridas vêm chamando atenção da cena autoral do distrito federal donas de vozes e presenças marcantes têm conquistado o público com muito talento carisma e versatilidade residentes de taguatinga utilizam a liberdade força e expressividade feminina como temas centrais de suas escrevivênciasas artistas compartilham influências do pop hip hop rampb mpb e afrobeat além de apresentarem a versatilidade musical estética e artística como características marcantes de seus trabalhos desde 2018 margaridas estão ativas na cena cultural do distrito federal com lançamento de músicas videoclipes eventos e shows sempre buscando conexões reais com seu público,arte e cultura
102,194399,explique sua tese estudo analisa afetos envolvidos na polarização política no brasil,o receio de conflito tem levado 46 dos brasileiros a evitarem discutir política com amigos e familiares é o que aponta um levantamento recente do datafolha com o objetivo de compreender as particularidades dos afetos envolvidos na polarização política no país o pesquisador mário glória filho defendeu em 2022 a dissertação 34polarização política afetiva empatia desumanização explícita e ideologia política34 pelo programa de pósgraduação em psicologia social do trabalho e das organizações do instituto de psicologia da universidade de brasília pstoipunb10112022,pesquisa e ciência
107,194368,fala jovem estudantes sugerem programas para o carnaval,,jornalismo
115,194154,fala jovem mulheres em função de combate no exército,recentemente as forças armadas orientaram o governo lula  a se posicionar contra uma ação no stf que tenta permitir que as mulheres possam exercer todas as funções o exército argumenta que a fisiologia feminina pode ser um fator limitador e você o que acha fala jovem,jornalismo
120,194063,vinheta 2013zapping,,jornalismo
121,194061,explique sua tese concepção de meio ambiente e natureza,entrevista com a mestre em ciências biológicas deise barreto dias08082013,pesquisa e ciência
