TITLE: unb oferece reabilitação gratuita para doenças neurodegenerativas
,ID,Título,Descrição,Categoria
546,190482,retrospectiva unb 60 anos,o ano de 2022 foi de muitas celebrações a universidade de brasília completou 60 anos mesmo ano em que o brasil comemorou o bicentenário da independência o centenário da semana de arte moderna e de darcy ribeiro idealizador do projeto da unb e seu primeiro reitor para comemorar esses 60 anos de história a unb planejou atividades e ações para o ano todo o ponto de partida foi em 15 de dezembro de 2021 com o lançamento da campanha “unb 60 anos atuante como sempre necessaria como nunca” a data foi escolhida por ser a mesma em que foi assinado o decreto de criação da universidade de brasília em 1961 como parte das comemorações a universidade lançou editais para contemplar projetos de pesquisa oficinas seminários e eventos que contassem a história da instituição pelo olhar de cada instituto e faculdade além de apresentações artísticas mostras de cinema lançamentos de livros concursos e muitos eventos pudemos relembrar a trajetória de luta e pioneirismo da unb celebrar o seu presente mas principalmente projetar o de futuro da unb e refletir o papel que a ciência a cultura e a educação deverão exercer no futuro do país e no fortalecimento da democracia brasileira ,unbtv
23,219397,universidade para quê  a porta para o futuro  ep10,o programa “universidade para quê” busca divulgar à sociedade a partir das ações desenvolvidas no campus da unb em planaltina df os diversos e por vezes pouco conhecidos papéis da universidade pública para além do ensino de graduação tradicionalmente reconhecido como de alta qualidade são pesquisas projetos de extensão e parcerias com instituições governamentais internacionais comunitárias e ligadas à sociedade civil organizada que apoiam o desenvolvimento do território imediatamente ligado aos campi mas que também atingem extensas regiões no brasil e para além de suas fronteiras “universidade para quê” é uma parceria entre unbtv e a faculdade unb planaltina fup por meio do laboratório de educação e comunicação comunitária lecom nesse décimo programa mostraremos como a passagem pela universidade pública transformou a vida de três jovens agora profissionais bemsucedidos nas áreas de gestão do agronegócio gestão ambiental e ciências naturais,pesquisa e ciência
413,191974,unb 60 anos atuante como sempre necessária como nunca,a universidade de brasília comemora 60 anos em 2022 “atuante como sempre necessária como nunca” é o slogan escolhido para celebrar o aniversário de uma das mais importantes universidades do país e da américa latina para todo o ano de 2022 estão previstos seminários exposições apresentações artísticas mostras de cinema lançamentos de livros concursos e muitas outras ações e eventos dentro dos espaços dos campi dos pólos de extensão da unb e em espaços públicos e escolas a reunião anual da sociedade brasileira para o progresso da ciência sbpc acontecerá em julho como parte das comemorações a universidade de brasília convida a comunidade acadêmica e toda a sociedade a celebrar a história de seus sessenta anos refletindo sobre os passos dados rumo ao fortalecimento da democracia brasileira e sobre o papel que a ciência a cultura e a educação deverão exercer no futuro do país venham conosco relembrar o passado festejar no presente e projetar o futuro da universidade de brasília,unbtv
406,192022,abertura semuni e a solenidade de outorga de doutor honoris causa a noam chomsky áudio original,a reitora da universidade de brasília professora márcia abrahão moura tem a honra de convidáloa para a abertura oficial da semana universitária e a solenidade de outorga de título de doutor honoris causa ao linguista norteamericano noam chomskyconhecido mundialmente por sua teoria da gramática gerativa chomsky foi indicado no ano passado pelo instituto de letras il da unb para ser condecorado de acordo com a diretora do il professora rozana naves a ideia de homenageálo surgiu quando o instituto completou cem trabalhos de pósgraduação defendidos na área da linguística gerativista34somouse a essa motivação a grande atuação política do pesquisador na defesa da democracia e na análise da geopolítica mundial34 complementa naves explica que o arcabouço teórico de chomsky na década de 1950 é conhecido como a primeira revolução cognitivistadata 21 de setembro de 2020,unbtv
353,192563,institucional unb 2022,conheça a unb estude na unb de acordo com a avaliação world university rankings by subjects do times higher education the a universidade de brasília unb é a terceira melhor universidade federal na área de administração e economia e a oitava quando comparada a todas as instituições de ensino superior brasileiras públicas ou privadas em relação ao ranking anterior a classificação representa um crescimento de quatro posições em nível nacional e de cinco entre federais a universidade ainda avançou nas áreas de engenharia – passando da 25ª posição para a 21ª de todo o brasil e da 18ª para 16ª entre federais – e na de ciências da vida – saindo do 28º lugar para o 20º entre brasileiras e do 20º para 14º quando comparada somente às federais já nas áreas de artes e humanidades saúde ciências da computação educação direito ciências da vida psicologia e ciências sociais a unb regrediu em comparação a outras universidades brasileiras mas ainda manteve excelentes pontuações a universidade foi classificada entre as dez melhores federais em quase todos os campos de conhecimento com exceção de ciências da computação em 20º lugar,unbtv
407,192021,abertura semuni e a solenidade de outorga de doutor honoris causa a noam chomsky com tradução,a reitora da universidade de brasília professora márcia abrahão moura tem a honra de convidáloa para a abertura oficial da semana universitária e a solenidade de outorga de título de doutor honoris causa ao linguista norteamericano noam chomskyconhecido mundialmente por sua teoria da gramática gerativa chomsky foi indicado no ano passado pelo instituto de letras il da unb para ser condecorado de acordo com a diretora do il professora rozana naves a ideia de homenageálo surgiu quando o instituto completou cem trabalhos de pósgraduação defendidos na área da linguística gerativista34somouse a essa motivação a grande atuação política do pesquisador na defesa da democracia e na análise da geopolítica mundial34 complementa naves explica que o arcabouço teórico de chomsky na década de 1950 é conhecido como a primeira revolução cognitivistadata 21 de setembro de 2020,unbtv
354,192560,agenda política especial mulher na ciência retrospectiva,quais os impedimentos para a entrada e permanência das mulheres na ciência dupla ou tripla jornada de trabalho maternidade ausência de políticas de incentivo e até mesmo assédio sexual na academia são apontados como algumas das causas no dia internacional da mulher 8 de março para além das homenagens é necessário aproveitar o momento para debater as opressões enfrentadas pelas mulheres diariamentecom esse objetivo a unbtv recebeu em seu estúdio a professora nair bicalho socióloga e integrante do conselho de direitos humanos da unb a professora vanessa carvalho coordenadora de graduação do instituto de física e a professora valeska zanello coordenadora do grupo de pesquisa “saúde mental e gênero” do instituto de psicologia da unbo agenda política especial “mulher na ciência” faz parte da campanha unb mais humana durante o mês de março teremos ainda outros dois programas para debater temáticas relacionadas às mulheres,unbtv
477,191048,universidade para quê  a interação entre a universidade e a escola  ep1,o programa “universidade pra quê” busca divulgar à sociedade a partir das ações desenvolvidas no campus da unb em planaltina df os diversos e por vezes pouco conhecidos papéis da universidade pública para além do ensino de graduação tradicionalmente reconhecido como de alta qualidade são pesquisas projetos de extensão e parcerias com instituições governamentais internacionais comunitárias e ligadas à sociedade civil organizada que apoiam o desenvolvimento do território imediatamente ligado aos campi mas que também atingem extensas regiões no brasil e para além de suas fronteiras“universidade pra quê” é uma parceria entre unbtv e a faculdade unb planaltina fup por meio do laboratório de educação e comunicação comunitária lecom nesse primeiro episódio a professora juliana caixeta psicóloga e o professor djiby mane linguista apresentarão seus projetos ligados a um importante papel da universidade pública a sua interação com a escola unbtv  abril2022,pesquisa e ciência
74,195874,emcantos margaridas,cantoras compositoras musicistas e irmãs maria paula e sabrina mais conhecidas como margaridas vêm chamando atenção da cena autoral do distrito federal donas de vozes e presenças marcantes têm conquistado o público com muito talento carisma e versatilidade residentes de taguatinga utilizam a liberdade força e expressividade feminina como temas centrais de suas escrevivênciasas artistas compartilham influências do pop hip hop rampb mpb e afrobeat além de apresentarem a versatilidade musical estética e artística como características marcantes de seus trabalhos desde 2018 margaridas estão ativas na cena cultural do distrito federal com lançamento de músicas videoclipes eventos e shows sempre buscando conexões reais com seu público,arte e cultura
343,192741,congresso de 75 anos da declaração universal de direitos humanos,acontece nesta terçafeira dia 12 de dezembro no auditório esperança garcia na faculdade de direito o congresso de 75 anos da declaração universal dos direitos humanoso congresso é uma iniciativa da secretaria de direitos humanos da universidade de brasília e do centro acadêmico de direito que busca maior visibilidade no alcance e ampliação dos direitos humanos para as populações marginalizadas abordando temas cruciais para a inclusão de populações marginalizadas nos direitos humanos diversas mesas de debate tratarão de política universitária fragilidades institucionais e questões contemporâneas relacionadas a mulheres populações periféricas e povos origináriosdurante a mesa de discussão serão tratados aspectos históricos fundamentais relacionados à gênese e evolução da declaração dos direitos humanos enfatizando uma análise crítica do contexto colonial e sua influência na configuração dos direitos humanos e as ações da universidade de brasília para a garantia e ampliação desses direitosa perspectiva do sul global frequentemente excluída das discussões predominantes será trazida à tona por meio de perspectivas e análises de renomados institutos e convidados especialistas,unbtv
